date,hours_over_100,avg_penetration,max_penetration,avg_oversupply_pct
2020-01-01,0,36.48,60.51,0.0
2020-01-02,0,36.31,59.55,0.0
2020-01-03,0,32.13,58.3,0.0
2020-01-04,0,37.62,66.17,0.0
2020-01-05,0,39.38,67.99,0.0
2020-01-06,0,33.59,60.02,0.0
2020-01-07,0,31.23,50.74,0.0
2020-01-08,0,43.5,65.04,0.0
2020-01-09,0,41.85,64.09,0.0
2020-01-10,0,34.9,62.2,0.0
2020-01-11,0,41.91,66.27,0.0
2020-01-12,0,43.49,65.93,0.0
2020-01-13,0,46.43,75.25,0.0
2020-01-14,0,45.74,71.18,0.0
2020-01-15,0,33.55,55.31,0.0
2020-01-16,0,35.56,59.47,0.0
2020-01-17,0,33.98,55.25,0.0
2020-01-18,0,29.54,50.03,0.0
2020-01-19,0,29.17,50.28,0.0
2020-01-20,0,25.3,38.21,0.0
2020-01-21,0,36.72,63.31,0.0
2020-01-22,0,37.85,62.98,0.0
2020-01-23,0,32.64,59.04,0.0
2020-01-24,0,36.82,64.38,0.0
2020-01-25,0,36.14,60.37,0.0
2020-01-26,0,42.15,72.15,0.0
2020-01-27,0,48.55,77.19,0.0
2020-01-28,0,44.62,72.9,0.0
2020-01-29,0,38.3,64.83,0.0
2020-01-30,0,33.27,57.33,0.0
2020-01-31,0,34.84,59.67,0.0
2020-02-01,0,33.74,59.27,0.0
2020-02-02,0,42.85,78.14,0.0
2020-02-03,0,42.46,71.59,0.0
2020-02-04,0,38.33,68.26,0.0
2020-02-05,0,32.77,59.0,0.0
2020-02-06,0,33.57,59.49,0.0
2020-02-07,0,33.55,60.8,0.0
2020-02-08,0,40.99,68.05,0.0
2020-02-09,0,46.29,71.98,0.0
2020-02-10,0,43.2,73.92,0.0
2020-02-11,0,37.52,68.7,0.0
2020-02-12,0,35.18,65.44,0.0
2020-02-13,0,32.97,63.82,0.0
2020-02-14,0,30.45,59.18,0.0
2020-02-15,0,34.57,63.34,0.0
2020-02-16,0,42.39,68.74,0.0
2020-02-17,0,43.54,75.59,0.0
2020-02-18,0,35.23,64.78,0.0
2020-02-19,0,35.72,65.95,0.0
2020-02-20,0,36.39,68.59,0.0
2020-02-21,0,32.58,58.36,0.0
2020-02-22,0,38.99,64.48,0.0
2020-02-23,0,49.17,76.68,0.0
2020-02-24,0,44.3,74.66,0.0
2020-02-25,0,40.03,73.07,0.0
2020-02-26,0,39.62,73.71,0.0
2020-02-27,0,35.48,67.19,0.0
2020-02-28,0,32.71,62.24,0.0
2020-02-29,0,41.82,70.47,0.0
2020-03-01,0,44.32,66.03,0.0
2020-03-02,0,47.82,84.08,0.0
2020-03-03,0,40.79,72.79,0.0
2020-03-04,0,39.48,71.66,0.0
2020-03-05,0,40.71,71.79,0.0
2020-03-06,0,43.65,75.62,0.0
2020-03-07,0,40.63,72.51,0.0
2020-03-08,0,40.87,72.13,0.0
2020-03-09,0,36.02,63.48,0.0
2020-03-10,0,31.29,50.49,0.0
2020-03-11,0,31.66,57.51,0.0
2020-03-12,0,31.99,46.47,0.0
2020-03-13,0,42.09,71.01,0.0
2020-03-14,0,39.34,67.0,0.0
2020-03-15,0,40.16,69.56,0.0
2020-03-16,0,33.59,48.9,0.0
2020-03-17,0,38.17,65.14,0.0
2020-03-18,0,39.72,62.78,0.0
2020-03-19,0,39.13,62.56,0.0
2020-03-20,0,34.16,61.77,0.0
2020-03-21,0,35.87,62.37,0.0
2020-03-22,0,40.69,69.45,0.0
2020-03-23,0,48.88,80.82,0.0
2020-03-24,0,46.23,74.36,0.0
2020-03-25,0,46.77,75.0,0.0
2020-03-26,0,51.35,76.39,0.0
2020-03-27,0,55.77,81.34,0.0
2020-03-28,0,43.8,68.49,0.0
2020-03-29,0,50.3,76.59,0.0
2020-03-30,0,53.29,80.99,0.0
2020-03-31,0,51.05,80.82,0.0
2020-04-01,0,52.68,78.03,0.0
2020-04-02,0,58.25,84.37,0.0
2020-04-03,0,57.14,80.39,0.0
2020-04-04,0,55.1,84.23,0.0
2020-04-05,0,43.21,67.59,0.0
2020-04-06,0,42.03,69.23,0.0
2020-04-07,0,37.66,63.34,0.0
2020-04-08,0,35.01,52.78,0.0
2020-04-09,0,34.08,54.42,0.0
2020-04-10,0,34.53,56.72,0.0
2020-04-11,0,47.99,69.04,0.0
2020-04-12,0,50.64,76.0,0.0
2020-04-13,0,55.46,85.03,0.0
2020-04-14,0,47.28,78.03,0.0
2020-04-15,0,52.17,82.21,0.0
2020-04-16,0,53.83,78.94,0.0
2020-04-17,0,51.27,82.7,0.0
2020-04-18,0,55.38,88.2,0.0
2020-04-19,0,55.73,80.0,0.0
2020-04-20,0,56.39,81.63,0.0
2020-04-21,0,61.27,89.24,0.0
2020-04-22,0,52.26,82.98,0.0
2020-04-23,0,58.4,94.54,0.0
2020-04-24,0,52.13,82.52,0.0
2020-04-25,0,47.08,75.78,0.0
2020-04-26,0,54.47,88.17,0.0
2020-04-27,0,61.58,95.33,0.0
2020-04-28,0,49.61,79.15,0.0
2020-04-29,0,48.3,79.35,0.0
2020-04-30,0,56.64,85.21,0.0
2020-05-01,0,53.28,84.25,0.0
2020-05-02,0,60.04,94.0,0.0
2020-05-03,0,54.66,86.39,0.0
2020-05-04,0,54.91,81.36,0.0
2020-05-05,0,52.87,78.78,0.0
2020-05-06,0,57.22,89.11,0.0
2020-05-07,0,49.78,80.9,0.0
2020-05-08,0,48.92,77.69,0.0
2020-05-09,0,45.48,72.29,0.0
2020-05-10,0,52.92,85.11,0.0
2020-05-11,0,53.29,88.62,0.0
2020-05-12,0,55.26,88.87,0.0
2020-05-13,0,56.47,87.72,0.0
2020-05-14,0,54.06,87.16,0.0
2020-05-15,0,55.47,86.31,0.0
2020-05-16,0,48.76,75.98,0.0
2020-05-17,0,49.81,80.27,0.0
2020-05-18,0,51.13,85.63,0.0
2020-05-19,0,53.65,76.96,0.0
2020-05-20,0,51.16,74.12,0.0
2020-05-21,0,51.57,80.09,0.0
2020-05-22,0,58.93,92.78,0.0
2020-05-23,0,50.83,79.98,0.0
2020-05-24,0,47.44,73.2,0.0
2020-05-25,0,49.5,80.39,0.0
2020-05-26,0,50.6,78.44,0.0
2020-05-27,0,53.75,79.51,0.0
2020-05-28,0,52.68,80.22,0.0
2020-05-29,0,47.24,72.87,0.0
2020-05-30,0,48.93,74.82,0.0
2020-05-31,0,46.11,69.37,0.0
2020-06-01,0,43.03,66.92,0.0
2020-06-02,0,39.59,63.63,0.0
2020-06-03,0,46.57,73.56,0.0
2020-06-04,0,50.66,78.5,0.0
2020-06-05,0,51.4,80.66,0.0
2020-06-06,0,52.68,76.92,0.0
2020-06-07,0,47.27,70.02,0.0
2020-06-08,0,48.73,73.44,0.0
2020-06-09,0,46.18,73.92,0.0
2020-06-10,0,47.62,72.34,0.0
2020-06-11,0,49.31,78.04,0.0
2020-06-12,0,52.92,83.42,0.0
2020-06-13,0,55.27,83.55,0.0
2020-06-14,0,52.35,80.02,0.0
2020-06-15,0,58.71,87.77,0.0
2020-06-16,0,62.17,94.83,0.0
2020-06-17,0,53.88,79.36,0.0
2020-06-18,0,55.99,82.26,0.0
2020-06-19,0,53.05,76.34,0.0
2020-06-20,0,56.42,80.96,0.0
2020-06-21,0,55.34,85.31,0.0
2020-06-22,0,53.45,76.92,0.0
2020-06-23,0,53.98,79.48,0.0
2020-06-24,0,50.05,75.79,0.0
2020-06-25,0,45.04,67.77,0.0
2020-06-26,0,44.61,67.06,0.0
2020-06-27,0,52.53,80.89,0.0
2020-06-28,0,52.49,85.09,0.0
2020-06-29,0,56.08,89.67,0.0
2020-06-30,0,50.52,79.06,0.0
2020-07-01,0,47.46,75.66,0.0
2020-07-02,0,47.17,74.59,0.0
2020-07-03,0,47.09,73.09,0.0
2020-07-04,0,48.94,75.7,0.0
2020-07-05,0,50.76,75.46,0.0
2020-07-06,0,53.14,81.14,0.0
2020-07-07,0,48.94,73.84,0.0
2020-07-08,0,58.53,86.33,0.0
2020-07-09,0,57.8,83.07,0.0
2020-07-10,0,50.26,74.28,0.0
2020-07-11,0,49.46,76.13,0.0
2020-07-12,0,52.32,78.2,0.0
2020-07-13,0,53.16,84.41,0.0
2020-07-14,0,54.01,84.09,0.0
2020-07-15,0,45.31,68.27,0.0
2020-07-16,0,51.62,78.85,0.0
2020-07-17,0,48.89,79.99,0.0
2020-07-18,0,44.8,71.51,0.0
2020-07-19,0,50.23,80.7,0.0
2020-07-20,0,56.25,84.87,0.0
2020-07-21,0,47.38,72.17,0.0
2020-07-22,0,39.14,67.48,0.0
2020-07-23,0,41.4,68.91,0.0
2020-07-24,0,46.93,74.29,0.0
2020-07-25,0,44.48,70.56,0.0
2020-07-26,0,41.57,66.6,0.0
2020-07-27,0,44.4,71.84,0.0
2020-07-28,0,45.87,70.56,0.0
2020-07-29,0,41.19,65.96,0.0
2020-07-30,0,41.44,69.4,0.0
2020-07-31,0,41.88,67.21,0.0
2020-08-01,0,45.29,72.22,0.0
2020-08-02,0,49.39,78.88,0.0
2020-08-03,0,49.02,77.19,0.0
2020-08-04,0,50.33,78.39,0.0
2020-08-05,0,52.59,81.18,0.0
2020-08-06,0,50.56,79.11,0.0
2020-08-07,0,47.49,70.35,0.0
2020-08-08,0,44.43,69.03,0.0
2020-08-09,0,42.66,66.52,0.0
2020-08-10,0,44.58,70.18,0.0
2020-08-11,0,44.71,71.87,0.0
2020-08-12,0,40.46,64.83,0.0
2020-08-13,0,32.94,54.9,0.0
2020-08-14,0,31.13,54.42,0.0
2020-08-15,0,28.35,44.75,0.0
2020-08-16,0,31.46,54.47,0.0
2020-08-17,0,29.98,49.42,0.0
2020-08-18,0,28.24,47.33,0.0
2020-08-19,0,32.61,51.5,0.0
2020-08-20,0,34.12,49.92,0.0
2020-08-21,0,28.83,45.16,0.0
2020-08-22,0,32.05,51.58,0.0
2020-08-23,0,31.27,50.0,0.0
2020-08-24,0,32.67,56.44,0.0
2020-08-25,0,35.11,58.26,0.0
2020-08-26,0,36.47,58.68,0.0
2020-08-27,0,37.52,57.41,0.0
2020-08-28,0,37.01,62.18,0.0
2020-08-29,0,41.22,67.4,0.0
2020-08-30,0,40.79,65.75,0.0
2020-08-31,0,41.6,67.65,0.0
2020-09-01,0,45.68,73.09,0.0
2020-09-02,0,45.88,70.91,0.0
2020-09-03,0,43.31,67.0,0.0
2020-09-04,0,36.64,59.94,0.0
2020-09-05,0,30.22,55.52,0.0
2020-09-06,0,29.25,49.59,0.0
2020-09-07,0,30.38,52.21,0.0
2020-09-08,0,30.53,50.21,0.0
2020-09-09,0,31.91,56.13,0.0
2020-09-10,0,27.71,49.97,0.0
2020-09-11,0,27.59,50.7,0.0
2020-09-12,0,31.65,61.1,0.0
2020-09-13,0,34.04,63.11,0.0
2020-09-14,0,30.9,55.56,0.0
2020-09-15,0,27.94,49.31,0.0
2020-09-16,0,28.85,49.58,0.0
2020-09-17,0,31.12,55.5,0.0
2020-09-18,0,35.74,62.81,0.0
2020-09-19,0,32.84,53.56,0.0
2020-09-20,0,30.47,53.45,0.0
2020-09-21,0,29.73,49.73,0.0
2020-09-22,0,42.35,69.72,0.0
2020-09-23,0,34.08,53.26,0.0
2020-09-24,0,35.08,55.71,0.0
2020-09-25,0,36.46,55.81,0.0
2020-09-26,0,43.63,67.69,0.0
2020-09-27,0,33.72,61.7,0.0
2020-09-28,0,34.23,62.5,0.0
2020-09-29,0,30.36,57.29,0.0
2020-09-30,0,28.9,51.22,0.0
2020-10-01,0,30.01,55.83,0.0
2020-10-02,0,30.99,55.55,0.0
2020-10-03,0,29.06,55.33,0.0
2020-10-04,0,27.73,53.9,0.0
2020-10-05,0,26.71,52.23,0.0
2020-10-06,0,24.68,47.6,0.0
2020-10-07,0,31.99,59.94,0.0
2020-10-08,0,38.68,67.11,0.0
2020-10-09,0,40.09,67.64,0.0
2020-10-10,0,40.07,66.66,0.0
2020-10-11,0,33.85,57.95,0.0
2020-10-12,0,26.2,51.5,0.0
2020-10-13,0,26.35,52.27,0.0
2020-10-14,0,24.7,49.28,0.0
2020-10-15,0,21.64,46.44,0.0
2020-10-16,0,20.22,45.55,0.0
2020-10-17,0,22.9,49.77,0.0
2020-10-18,0,24.49,49.12,0.0
2020-10-19,0,28.58,57.45,0.0
2020-10-20,0,24.26,51.28,0.0
2020-10-21,0,23.56,51.67,0.0
2020-10-22,0,29.99,59.28,0.0
2020-10-23,0,25.48,50.05,0.0
2020-10-24,0,26.9,49.35,0.0
2020-10-25,0,36.42,65.22,0.0
2020-10-26,0,27.57,58.81,0.0
2020-10-27,0,15.26,36.44,0.0
2020-10-28,0,17.4,40.81,0.0
2020-10-29,0,18.36,41.25,0.0
2020-10-30,0,19.97,44.11,0.0
2020-10-31,0,19.78,43.15,0.0
2020-11-01,0,23.07,54.72,0.0
2020-11-02,0,26.01,56.11,0.0
2020-11-03,0,28.21,53.96,0.0
2020-11-04,0,27.82,57.56,0.0
2020-11-05,0,22.2,46.9,0.0
2020-11-06,0,23.9,40.91,0.0
2020-11-07,0,26.09,44.65,0.0
2020-11-08,0,28.34,46.72,0.0
2020-11-09,0,27.1,50.46,0.0
2020-11-10,0,23.69,46.87,0.0
2020-11-11,0,23.07,45.15,0.0
2020-11-12,0,23.32,47.63,0.0
2020-11-13,0,38.3,71.09,0.0
2020-11-14,0,37.59,66.62,0.0
2020-11-15,0,32.85,68.3,0.0
2020-11-16,0,31.25,63.1,0.0
2020-11-17,0,31.77,63.67,0.0
2020-11-18,0,38.69,70.22,0.0
2020-11-19,0,38.55,68.92,0.0
2020-11-20,0,26.1,48.18,0.0
2020-11-21,0,28.06,57.13,0.0
2020-11-22,0,32.13,58.98,0.0
2020-11-23,0,43.01,73.4,0.0
2020-11-24,0,32.76,62.83,0.0
2020-11-25,0,30.48,56.67,0.0
2020-11-26,0,32.54,60.14,0.0
2020-11-27,0,27.84,50.19,0.0
2020-11-28,0,28.56,55.51,0.0
2020-11-29,0,37.41,71.58,0.0
2020-11-30,0,32.32,61.88,0.0
2020-12-01,0,36.44,64.75,0.0
2020-12-02,0,31.15,57.67,0.0
2020-12-03,0,26.18,52.55,0.0
2020-12-04,0,25.92,52.4,0.0
2020-12-05,0,26.27,53.57,0.0
2020-12-06,0,23.01,46.56,0.0
2020-12-07,0,26.71,48.9,0.0
2020-12-08,0,22.05,37.65,0.0
2020-12-09,0,22.3,41.32,0.0
2020-12-10,0,34.76,62.24,0.0
2020-12-11,0,27.6,47.78,0.0
2020-12-12,0,26.93,50.16,0.0
2020-12-13,0,21.91,36.64,0.0
2020-12-14,0,37.54,66.89,0.0
2020-12-15,0,28.55,55.12,0.0
2020-12-16,0,26.0,52.57,0.0
2020-12-17,0,31.41,54.69,0.0
2020-12-18,0,31.31,59.79,0.0
2020-12-19,0,28.22,57.82,0.0
2020-12-20,0,25.65,53.67,0.0
2020-12-21,0,25.95,51.98,0.0
2020-12-22,0,33.35,58.58,0.0
2020-12-23,0,29.46,57.21,0.0
2020-12-24,0,19.42,29.92,0.0
2020-12-25,0,28.55,54.9,0.0
2020-12-26,0,33.79,60.04,0.0
2020-12-27,0,23.66,45.34,0.0
2020-12-28,0,25.66,43.79,0.0
2020-12-29,0,29.27,61.41,0.0
2020-12-30,0,28.86,55.53,0.0
2020-12-31,0,35.09,66.66,0.0
2021-01-01,0,30.17,60.29,0.0
2021-01-02,0,32.1,62.4,0.0
2021-01-03,0,31.85,57.35,0.0
2021-01-04,0,34.95,65.67,0.0
2021-01-05,0,33.8,61.95,0.0
2021-01-06,0,29.86,54.98,0.0
2021-01-07,0,26.14,49.74,0.0
2021-01-08,0,30.95,60.0,0.0
2021-01-09,0,31.47,62.87,0.0
2021-01-10,0,28.08,60.1,0.0
2021-01-11,0,29.38,60.32,0.0
2021-01-12,0,25.41,49.35,0.0
2021-01-13,0,32.82,56.35,0.0
2021-01-14,0,34.9,61.86,0.0
2021-01-15,0,35.96,63.62,0.0
2021-01-16,0,37.67,70.88,0.0
2021-01-17,0,38.76,69.41,0.0
2021-01-18,0,45.71,80.65,0.0
2021-01-19,0,46.22,73.65,0.0
2021-01-20,0,37.45,65.9,0.0
2021-01-21,0,38.94,71.58,0.0
2021-01-22,0,38.95,66.29,0.0
2021-01-23,0,35.28,55.79,0.0
2021-01-24,0,42.86,72.87,0.0
2021-01-25,0,43.74,67.55,0.0
2021-01-26,0,44.5,74.6,0.0
2021-01-27,0,32.45,49.7,0.0
2021-01-28,0,30.93,50.43,0.0
2021-01-29,0,37.24,62.41,0.0
2021-01-30,0,35.34,65.91,0.0
2021-01-31,0,32.84,61.86,0.0
2021-02-01,0,31.88,57.26,0.0
2021-02-02,0,37.81,65.37,0.0
2021-02-03,0,49.25,81.75,0.0
2021-02-04,0,38.87,73.18,0.0
2021-02-05,0,35.87,66.92,0.0
2021-02-06,0,33.68,65.45,0.0
2021-02-07,0,35.73,65.39,0.0
2021-02-08,0,39.83,70.55,0.0
2021-02-09,0,37.6,60.09,0.0
2021-02-10,0,44.28,74.27,0.0
2021-02-11,0,37.91,61.32,0.0
2021-02-12,0,45.28,79.21,0.0
2021-02-13,0,46.22,74.9,0.0
2021-02-14,0,44.5,75.72,0.0
2021-02-15,0,41.83,71.96,0.0
2021-02-16,0,47.14,79.94,0.0
2021-02-17,0,43.68,80.77,0.0
2021-02-18,0,37.27,71.95,0.0
2021-02-19,0,44.02,80.48,0.0
2021-02-20,0,48.82,80.14,0.0
2021-02-21,0,40.81,76.82,0.0
2021-02-22,0,39.56,77.37,0.0
2021-02-23,0,40.94,76.51,0.0
2021-02-24,0,51.04,90.78,0.0
2021-02-25,0,41.96,78.28,0.0
2021-02-26,0,42.41,77.73,0.0
2021-02-27,0,47.54,83.83,0.0
2021-02-28,0,41.96,77.7,0.0
2021-03-01,0,38.54,78.34,0.0
2021-03-02,0,37.38,73.11,0.0
2021-03-03,0,32.98,50.71,0.0
2021-03-04,0,40.9,75.99,0.0
2021-03-05,0,38.99,75.8,0.0
2021-03-06,0,45.46,70.38,0.0
2021-03-07,0,37.05,59.06,0.0
2021-03-08,0,53.91,94.88,0.0
2021-03-09,0,47.95,86.77,0.0
2021-03-10,0,37.24,68.51,0.0
2021-03-11,0,32.41,56.72,0.0
2021-03-12,0,36.78,67.35,0.0
2021-03-13,0,48.47,76.2,0.0
2021-03-14,0,48.48,82.52,0.0
2021-03-15,0,44.72,72.13,0.0
2021-03-16,0,47.4,78.87,0.0
2021-03-17,0,35.57,66.61,0.0
2021-03-18,0,32.37,61.04,0.0
2021-03-19,0,37.21,60.25,0.0
2021-03-20,0,48.42,76.88,0.0
2021-03-21,0,41.02,60.17,0.0
2021-03-22,0,42.04,69.95,0.0
2021-03-23,0,41.94,72.0,0.0
2021-03-24,0,38.24,63.14,0.0
2021-03-25,0,46.99,71.86,0.0
2021-03-26,0,44.12,77.22,0.0
2021-03-27,0,40.5,73.62,0.0
2021-03-28,0,38.29,68.17,0.0
2021-03-29,0,48.36,79.24,0.0
2021-03-30,0,43.66,73.59,0.0
2021-03-31,0,37.93,72.09,0.0
2021-04-01,0,36.23,67.29,0.0
2021-04-02,0,49.16,88.28,0.0
2021-04-03,0,51.12,88.64,0.0
2021-04-04,0,50.74,83.26,0.0
2021-04-05,0,55.44,90.65,0.0
2021-04-06,0,52.16,81.51,0.0
2021-04-07,0,51.81,86.18,0.0
2021-04-08,0,53.06,84.87,0.0
2021-04-09,0,55.12,90.0,0.0
2021-04-10,0,46.54,74.8,0.0
2021-04-11,0,40.14,61.04,0.0
2021-04-12,0,44.85,73.94,0.0
2021-04-13,0,48.76,78.54,0.0
2021-04-14,0,43.54,74.77,0.0
2021-04-15,0,44.74,74.24,0.0
2021-04-16,0,48.87,83.47,0.0
2021-04-17,0,42.01,75.44,0.0
2021-04-18,0,44.68,80.3,0.0
2021-04-19,0,53.42,88.15,0.0
2021-04-20,0,55.63,90.9,0.0
2021-04-21,0,56.63,95.74,0.0
2021-04-22,0,58.12,93.92,0.0
2021-04-23,0,58.51,94.4,0.0
2021-04-24,0,55.71,89.93,0.0
2021-04-25,0,49.9,79.62,0.0
2021-04-26,0,50.35,80.64,0.0
2021-04-27,0,55.3,83.95,0.0
2021-04-28,0,55.51,87.03,0.0
2021-04-29,0,52.44,85.15,0.0
2021-04-30,0,52.41,85.03,0.0
2021-05-01,0,58.54,92.44,0.0
2021-05-02,0,59.59,91.19,0.0
2021-05-03,0,59.23,92.81,0.0
2021-05-04,0,48.35,80.11,0.0
2021-05-05,0,49.08,77.9,0.0
2021-05-06,0,54.73,85.81,0.0
2021-05-07,0,60.39,92.39,0.0
2021-05-08,0,54.43,76.43,0.0
2021-05-09,0,57.16,88.78,0.0
2021-05-10,0,57.67,83.16,0.0
2021-05-11,0,49.73,76.32,0.0
2021-05-12,0,48.62,76.51,0.0
2021-05-13,0,53.54,84.24,0.0
2021-05-14,0,58.72,91.82,0.0
2021-05-15,0,55.24,85.47,0.0
2021-05-16,0,58.67,91.88,0.0
2021-05-17,3,67.14,101.38,0.79
2021-05-18,1,63.12,100.23,0.23
2021-05-19,0,63.45,98.97,0.0
2021-05-20,0,61.25,94.23,0.0
2021-05-21,0,58.74,91.18,0.0
2021-05-22,0,53.87,75.87,0.0
2021-05-23,0,53.65,76.5,0.0
2021-05-24,0,56.93,87.34,0.0
2021-05-25,0,55.34,81.81,0.0
2021-05-26,0,53.89,82.74,0.0
2021-05-27,0,59.06,88.6,0.0
2021-05-28,0,57.75,82.09,0.0
2021-05-29,0,57.1,87.58,0.0
2021-05-30,0,56.32,85.03,0.0
2021-05-31,0,51.17,79.66,0.0
2021-06-01,0,48.64,77.32,0.0
2021-06-02,0,52.55,80.68,0.0
2021-06-03,0,50.02,74.95,0.0
2021-06-04,0,53.07,80.92,0.0
2021-06-05,0,55.38,84.48,0.0
2021-06-06,0,57.92,91.2,0.0
2021-06-07,0,56.07,86.7,0.0
2021-06-08,0,59.73,89.66,0.0
2021-06-09,0,54.67,86.77,0.0
2021-06-10,0,57.69,86.87,0.0
2021-06-11,0,58.52,86.21,0.0
2021-06-12,0,51.88,74.37,0.0
2021-06-13,0,52.98,80.36,0.0
2021-06-14,0,51.56,78.01,0.0
2021-06-15,0,45.07,70.81,0.0
2021-06-16,0,37.94,60.53,0.0
2021-06-17,0,37.1,58.35,0.0
2021-06-18,0,36.83,55.75,0.0
2021-06-19,0,40.89,64.78,0.0
2021-06-20,0,50.05,77.19,0.0
2021-06-21,0,50.98,79.56,0.0
2021-06-22,0,43.41,70.99,0.0
2021-06-23,0,41.99,68.97,0.0
2021-06-24,0,44.38,70.71,0.0
2021-06-25,0,49.13,75.29,0.0
2021-06-26,0,49.74,75.4,0.0
2021-06-27,0,46.8,70.34,0.0
2021-06-28,0,42.83,65.86,0.0
2021-06-29,0,41.68,65.8,0.0
2021-06-30,0,41.5,71.14,0.0
2021-07-01,0,41.99,68.48,0.0
2021-07-02,0,38.01,59.22,0.0
2021-07-03,0,39.07,62.3,0.0
2021-07-04,0,45.02,74.43,0.0
2021-07-05,0,50.14,77.9,0.0
2021-07-06,0,53.33,81.11,0.0
2021-07-07,0,47.61,72.32,0.0
2021-07-08,0,41.29,65.74,0.0
2021-07-09,0,48.04,72.07,0.0
2021-07-10,0,42.28,63.98,0.0
2021-07-11,0,43.87,67.25,0.0
2021-07-12,0,45.22,70.23,0.0
2021-07-13,0,43.48,71.53,0.0
2021-07-14,0,43.91,70.13,0.0
2021-07-15,0,43.97,71.4,0.0
2021-07-16,0,44.17,69.63,0.0
2021-07-17,0,40.03,65.05,0.0
2021-07-18,0,32.77,52.75,0.0
2021-07-19,0,37.77,61.4,0.0
2021-07-20,0,41.98,67.26,0.0
2021-07-21,0,43.85,66.83,0.0
2021-07-22,0,34.98,59.48,0.0
2021-07-23,0,34.05,55.07,0.0
2021-07-24,0,35.28,54.52,0.0
2021-07-25,0,40.48,61.84,0.0
2021-07-26,0,33.43,56.92,0.0
2021-07-27,0,37.12,64.47,0.0
2021-07-28,0,38.5,60.57,0.0
2021-07-29,0,38.87,60.37,0.0
2021-07-30,0,33.05,54.82,0.0
2021-07-31,0,38.15,63.43,0.0
2021-08-01,0,42.05,65.46,0.0
2021-08-02,0,42.4,67.19,0.0
2021-08-03,0,42.16,66.03,0.0
2021-08-04,0,42.59,67.4,0.0
2021-08-05,0,44.82,72.07,0.0
2021-08-06,0,47.65,76.32,0.0
2021-08-07,0,39.05,65.76,0.0
2021-08-08,0,40.5,66.63,0.0
2021-08-09,0,45.74,72.42,0.0
2021-08-10,0,42.05,65.96,0.0
2021-08-11,0,34.79,58.51,0.0
2021-08-12,0,38.78,63.29,0.0
2021-08-13,0,51.24,77.77,0.0
2021-08-14,0,37.28,54.88,0.0
2021-08-15,0,38.65,58.85,0.0
2021-08-16,0,47.04,73.1,0.0
2021-08-17,0,48.87,78.36,0.0
2021-08-18,0,48.87,75.78,0.0
2021-08-19,0,45.91,72.0,0.0
2021-08-20,0,44.38,67.92,0.0
2021-08-21,0,52.29,80.33,0.0
2021-08-22,0,44.13,70.18,0.0
2021-08-23,0,47.54,76.68,0.0
2021-08-24,0,45.12,71.47,0.0
2021-08-25,0,47.59,75.25,0.0
2021-08-26,0,46.23,72.58,0.0
2021-08-27,0,44.71,75.93,0.0
2021-08-28,0,40.23,68.7,0.0
2021-08-29,0,39.69,65.31,0.0
2021-08-30,0,46.4,73.05,0.0
2021-08-31,0,41.64,58.17,0.0
2021-09-01,0,50.04,77.12,0.0
2021-09-02,0,52.74,81.57,0.0
2021-09-03,0,49.46,78.16,0.0
2021-09-04,0,39.18,65.27,0.0
2021-09-05,0,46.4,77.39,0.0
2021-09-06,0,46.55,75.17,0.0
2021-09-07,0,39.58,63.07,0.0
2021-09-08,0,39.0,62.97,0.0
2021-09-09,0,38.0,62.65,0.0
2021-09-10,0,42.51,68.61,0.0
2021-09-11,0,42.33,66.75,0.0
2021-09-12,0,42.89,68.55,0.0
2021-09-13,0,47.56,76.28,0.0
2021-09-14,0,48.35,75.71,0.0
2021-09-15,0,52.08,81.51,0.0
2021-09-16,0,52.85,77.97,0.0
2021-09-17,0,47.79,71.51,0.0
2021-09-18,0,52.63,83.63,0.0
2021-09-19,0,60.88,91.68,0.0
2021-09-20,0,52.79,83.24,0.0
2021-09-21,0,45.36,73.93,0.0
2021-09-22,0,45.94,75.82,0.0
2021-09-23,0,39.55,57.05,0.0
2021-09-24,0,35.35,57.81,0.0
2021-09-25,0,39.28,61.29,0.0
2021-09-26,0,50.17,68.78,0.0
2021-09-27,0,64.68,95.01,0.0
2021-09-28,0,51.72,81.43,0.0
2021-09-29,0,51.4,76.29,0.0
2021-09-30,0,50.19,80.41,0.0
2021-10-01,0,43.89,77.6,0.0
2021-10-02,0,40.75,72.62,0.0
2021-10-03,0,40.23,71.57,0.0
2021-10-04,0,37.86,61.84,0.0
2021-10-05,0,44.02,70.98,0.0
2021-10-06,0,47.19,75.04,0.0
2021-10-07,0,39.8,63.78,0.0
2021-10-08,0,49.42,74.19,0.0
2021-10-09,0,42.31,61.81,0.0
2021-10-10,0,50.05,80.19,0.0
2021-10-11,0,59.74,89.77,0.0
2021-10-12,0,52.13,80.56,0.0
2021-10-13,0,48.67,73.32,0.0
2021-10-14,0,50.32,84.6,0.0
2021-10-15,0,47.27,82.74,0.0
2021-10-16,0,39.93,72.51,0.0
2021-10-17,0,42.64,78.59,0.0
2021-10-18,0,53.03,82.25,0.0
2021-10-19,0,40.68,69.6,0.0
2021-10-20,0,37.27,64.13,0.0
2021-10-21,0,36.79,65.22,0.0
2021-10-22,0,42.17,76.62,0.0
2021-10-23,0,51.26,79.57,0.0
2021-10-24,0,46.23,72.73,0.0
2021-10-25,0,45.26,73.61,0.0
2021-10-26,0,43.94,72.04,0.0
